dataset,best_kmer_MCC,best_fm_MCC,best_kmer_AUROC,best_fm_AUROC,best_kmer_F1,best_fm_F1,best_kmer_Accuracy,best_fm_Accuracy
dna_foundation_benchmark/EMP/Yeast_H3K36me3,0.4596250565941954,0.5537273237236547,0.8173964585311126,0.8493140119773164,0.7177243575293998,0.7754590266013143,0.7298614429049212,0.7789775441949355
dna_foundation_benchmark/EMP/Yeast_H3K4me1,0.3495853630264314,0.4546628167499029,0.7500860332382072,0.7898976798259869,0.6579988086176656,0.7262413221153454,0.6778198653198653,0.7307449494949495
dna_foundation_benchmark/EMP/Yeast_H3K4me2,,0.2314040008195934,,0.6737833384757972,,0.5736891555606471,,0.645844649646931
dna_foundation_benchmark/EMP/Yeast_H3K4me3,,0.2127708709055569,,0.6477904029188586,,0.596362472319705,,0.6110507246376812
dna_foundation_benchmark/EMP/Yeast_H3K79me3,,0.5165480503327811,,0.8241314297058177,,0.7577448580889201,,0.7597087378640777
dna_foundation_benchmark/EMP/Yeast_H3K9ac,,0.3726320654954728,,0.7602695417789758,,0.682122673111244,,0.6931013797240552
dna_foundation_benchmark/EMP/Yeast_H4,,0.6834460272042501,,0.9123965072079786,,0.8405683124257348,,0.8440995206573841
dna_foundation_benchmark/EMP/Yeast_H4ac,,0.3242398599832265,,0.7186015148643554,,0.6567213334041502,,0.6664385570436993
dna_foundation_benchmark/deep4mc/A.thaliana_4mC,,0.1068116293471023,,0.5735177894140862,,0.5534002997692606,,0.553404708369939
dna_foundation_benchmark/deep4mc/C.elegans_4mC,,0.1230119038788292,,0.5806455045155141,,0.5614189602541602,,0.5614868948843343
dna_foundation_benchmark/deep4mc/D.melanogaster_4mC,,0.125568228808979,,0.5866061205593606,,0.562296220994954,,0.5626752767527675
dna_foundation_benchmark/deep4mc/E.coli_4mC,,-0.0103692386576493,,0.5482019327792284,,0.4543988269794721,,0.8328406342381081
dna_foundation_benchmark/deep4mc/G.pickeringii_4mC,,-0.0062292904365417,,0.5856864311935941,,0.4544925388930045,,0.8331554951983704
dna_foundation_benchmark/deep4mc/G.subterraneus_4mC,,-0.0054190195484109,,0.5630597539846565,,0.4545072283849265,,0.8332048599640275
dna_foundation_benchmark/enhancers/enhancer,,0.5131137862772546,,0.83315,,0.7542566262945409,,0.755
dna_foundation_benchmark/enhancers/enhancer_strength,,0.5073422963483419,,0.8317638888888889,,0.5876367353624338,,0.6875
